title,genres,keywords,overview
Sons of Rizk,"Crime, Comedy, Action","sibling relationship, crime spree","Four brothers committing crimes with a promise among them to stop someday. When a deal goes south, the older brother says it's enough, but the other three disagree and recklessly do business with a wanted crime lord."
Capernaum,Drama,"child bride, slum, poverty, refugee, life in the slums, lawsuit, undocumented immigrant, child abuse, slum dwellers, neglect","Zain, a 12-year-old boy scrambling to survive on the streets of Beirut, sues his parents for having brought him into such an unjust world, where being a refugee with no documents means that your rights can easily be denied."
Amod Faqrey,"Family, Comedy","amod faqrey, spinal column, عمود فقري","A young man in his fourth decade looking for a job to marry his beloved after many years of engagement, but every time he faces bad luck and enters him into a problem that soon comes out of them and then falls in another, where he worked in one of the jobs, drivers and buffet worker, then A driver for a NPC member, he falls into many strange and comical paradoxes."
Mako,"Thriller, Adventure, Drama","shark, shark attack, mako",Eight documentary makers decide to go to the location of Elsalam Ship which sunk years ago to make a new documntary where they face unforseen dangers.
A solution that pleases all.,Drama,"family dynamics, tenant","It talks about a wife who seeks to keep her deceased son of her husband away from home, so that she can live alone and bring her daughter to live with her, while the son seeks to be alone in the apartment so that he can marry, they think of the only solution is for the son to marry the daughter and live in the apartment, to escalate events."
Mirror Game,"Crime, Thriller, Mystery","double murder, crime scene, betrayal of trust, perfect crime, love interest, politics, deception, bengali, corrupt politician, escape from jail, dhaka (dacca), bangladesh, crime reporter, power politics","Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne out of a society that doesn't give him a chance to follow his passion of acting, but forces him to act in the real life. Falling in love with the girl next door changes his life equation and he decides to end this career with one last performance. But this one takes him too deep in the rabbit hole. The story unfolds on how an underdog survives in a society that is merciless and struggles his way out from the clutch of crime game which he is a part too."
Bidhatar Lekha,"Thriller, Drama, Family, Action","reincarnation, hrishitaa bhatt","The film explores two lovers and their relationship in their last life that had come to a tragic end, and in 2007 the pair confronts each other again in the current incarnation."
Kung Fu Jungle,"Crime, Thriller, Action","kung fu, serial killer, martial arts","A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom."
Ip Man 3,"Drama, History, Action","biography, kung fu, wing chun, hong kong, gangster, 1950s, martial arts","When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand."
Ip Man 4: The Finale,"Drama, History, Action","sequel, 1960s, chinatown, immigrant, kung fu, cancer, wing chun, chinese, fight, based on true story, racism, martial arts, karate, san francisco, california","Following the death of his wife, Ip Man travels to San Francisco to ease tensions between the local kung fu masters and his star student, Bruce Lee, while searching for a better future for his son."
Dynasty Warriors,"Adventure, Fantasy, Action","dynasty, samurai, based on video game","In the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise."
A Regular Thing,"Drama, Comedy",short film,"Love has a price in this quirky sex comedy. Sten is a 30- year-old librarian. Over a book he meets supersexy Katja, the woman of his dreams, and they soon end up in bed together. It's love at first sight, but the next thing he knows, Katja wants money every time they make love. Otherwise their relationship will become trivial, she says. Reluctantly Sten agrees, but then Katja puts up the price."
Valhalla,"Adventure, Fantasy",based on comic,"The Viking children Røskva and Tjalfe embark on an adventurous journey from Midgard to Valhalla with the gods Thor and Loki. Life in Valhalla, however, turns out to be threatened by the dreaded Fenrir wolf and the god's barbaric archenemies, the Jotnar. Side by side with the gods the two children must fight to save Valhalla from the end of the world - Ragnarok."
Another Round,"Drama, Comedy","teacher student relationship, pressure to perform, teacher, copenhagen, family relationships, experiment, denmark, intoxication, alcohol, friendship, social pressure",Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.
Riders of Justice,"Comedy, Action","father daughter relationship, train, mathematics, revenge, gay interest, train accident, gay sub-plot","Markus returns home to care for his daughter when his wife dies in a tragic train accident. However, when a survivor of the wreck surfaces and claims foul play, Markus suspects his wife was murdered and embarks on a mission to find those responsible."
Speak No Evil,"Thriller, Drama, Horror","manipulation, family vacation, babysitter, husband wife relationship, netherlands, italy, denmark, countryside, restaurant, friendship",A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.
300 Worte Deutsch,Comedy,"wedding, integration, tradition, turkey, germany, migration",Culture-Clash-Comedy about Turkish brides importet into Germany.
